nom_prot regne type milieu
ClobarTOPc_X_B_A0A0A A TOP A 
ClobarTOPb_X_B_A0A0A A TOP A 
BifkasTOPa_X_B_A0A0A A TOP A 
BifkasTOPb_X_B_A0A0A A TOP A 
BifpseTOPz_X_B_A0A0A A TOP A 
PseparTOPa_X_B_A0A0A A TOP A 
PseparTOPb_X_B_A0A0A A TOP A 
CelbalTOPb_X_B_A0A0A A TOP A 
CelbalTOPa_X_B_A0A0A A TOP A 
DeiswuTOPz_X_B_A0A0A A TOP A 
ActequTOPb_X_B_A0A0A A TOP A 
ActequTOPc_X_B_A0A0A A TOP A 
ActequTOPa_X_B_A0A0A A TOP A 
SphfriTOPz_X_B_A0A0A A TOP A 
FriperTOPb_X_B_A0A0A A TOP A 
FriperTOPa_X_B_A0A0A A TOP A 
BorchiTOPz_X_B_A0A0A A TOP A 
AcinosTOPz_X_B_A0A0A A TOP A 
CorbacTOPz_X_B_A0A0A A TOP A 
PanspuTOPz_X_B_A0A0A A TOP A 
PanpulTOPz_X_B_A0A0A A TOP A 
XansacTOPz_X_B_A0A0A A TOP A 
FraguaTOPz_X_B_A0A0A A TOP A 
CoxendTOPz_X_B_A0A0A A TOP A 
MycfloTOPz_X_B_A0A0A A TOP A 
CampelTOPz_X_B_A0A0A A TOP A 
Camsp.TOPz_X_B_A0A0A A TOP A 
CaminsTOPz_X_B_A0A0A A TOP A 
CamsubTOPz_X_B_A0A0A A TOP A 
CamvolTOPz_X_B_A0A0A A TOP A 
StahyiTOPa_X_B_A0A0A A TOP A 
StahyiTOPb_X_B_A0A0A A TOP A 
MetcaeTOPz_X_B_A0A0A A TOP A 
Plasp.TOPa_X_B_A0A0B B TOP A 
Plasp.TOPb_X_B_A0A0B B TOP A 
Plasp.TOPc_X_B_A0A0B B TOP A 
ParmicTOPb_X_B_A0A0B B TOP A 
ParmicTOPa_X_B_A0A0B B TOP A 
RhigalTOPz_X_B_A0A0B B TOP A 
AlcpacTOPb_X_B_A0A0B B TOP A 
AlcpacTOPa_X_B_A0A0B B TOP A 
ThaxiaTOPz_X_B_A0A0B B TOP A 
Jeosp.TOPb_X_B_A0A0B B TOP A 
Jeosp.TOPa_X_B_A0A0B B TOP A 
Jeosp.TOPc_X_B_A0A0B B TOP A 
GeopicTOPz_X_B_A0A0B B TOP A 
PsebalTOPc_X_B_A0A0B B TOP A 
PsebalTOPa_X_B_A0A0B B TOP A 
PsebalTOPb_X_B_A0A0B B TOP A 
CorhumTOPz_X_B_A0A0B B TOP A 
CelindTOPz_X_B_A0A0B B TOP A 
GeosubTOPz_X_B_A0A0B B TOP A 
StrvieTOPz_X_B_A0A0B B TOP A 
PsepleTOPb_X_B_A0A0B B TOP A 
PsepleTOPa_X_B_A0A0B B TOP A 
PsepleTOPc_X_B_A0A0B B TOP A 
MyrproTOPb_X_B_A0A0B B TOP A 
MyrproTOPa_X_B_A0A0B B TOP A 
CorsinTOPz_X_B_A0A0B B TOP A 
YerfreTOPb_M_B_A0A0B B TOP A 
YerfreTOPa_M_B_A0A0B B TOP A 
CormarTOPz_X_B_A0A0B B TOP A 
RicmonTOPz_X_B_A0A0B B TOP A 
