prot_1 prot_2 force
BacantTOPb_M_B AkkmucTOPz_M_B 21 
BacantTOPb_M_B AroaroTOPa_M_B 21 
BacantTOPb_M_B AroaroTOPb_M_B 21 
BacantTOPb_M_B AtoparTOPz_M_B 21 
BacantTOPc_M_B AciferTOPb_M_B 21 
BacantTOPc_M_B AciferTOPc_M_B 21 
BacantTOPc_M_B AersalTOPb_M_B 21 
BacantTOPc_M_B AkkmucTOPz_M_B 21 
BacantTOPc_M_B AroaroTOPa_M_B 21 
BacantTOPc_M_B AroaroTOPb_M_B 21 
BacantTOPc_M_B AtoparTOPz_M_B 21 
BacantTOPc_M_B BacantTOPb_M_B 21 
BaccerTOPa_M_B BacantTOPa_M_B 21 
BaccerTOPb_M_B AciferTOPb_M_B 21 
BaccerTOPb_M_B AciferTOPc_M_B 21 
BaccerTOPb_M_B AersalTOPb_M_B 21 
BaccerTOPb_M_B AkkmucTOPz_M_B 21 
BaccerTOPb_M_B AroaroTOPa_M_B 21 
BaccerTOPb_M_B AroaroTOPb_M_B 21 
BaccerTOPb_M_B AtoparTOPz_M_B 21 
BaccerTOPb_M_B BacantTOPb_M_B 21 
BaccerTOPb_M_B BacantTOPc_M_B 21 
BaccerTOPc_M_B AciferTOPb_M_B 21 
BaccerTOPc_M_B AciferTOPc_M_B 21 
BaccerTOPc_M_B AersalTOPb_M_B 21 
BaccerTOPc_M_B AkkmucTOPz_M_B 21 
BaccerTOPc_M_B AroaroTOPa_M_B 21 
BaccerTOPc_M_B AroaroTOPb_M_B 21 
BaccerTOPc_M_B AtoparTOPz_M_B 21 
BaccerTOPc_M_B BacantTOPb_M_B 21 
BaccerTOPc_M_B BacantTOPc_M_B 21 
BaccerTOPc_M_B BaccerTOPb_M_B 21 
BacfraTOPa_M_B AcicapTOPz_M_B 21 
BacfraTOPa_M_B AciferTOPa_M_B 20 
BacfraTOPa_M_B AmicolTOPz_M_B 21 
BacfraTOPa_M_B AnathmTOPz_X_B 20 
BacfraTOPa_M_B AquaeoTOPz_T_B 21 
BacfraTOPb_M_B AciferTOPb_M_B 21 
BacfraTOPb_M_B AciferTOPc_M_B 21 
