Nombre de groupes :  3 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  0  proteines
1   152 IgnaggTOPz_T_A 
1   155 IgnhosTOPz_T_A 
1   159 LeibraTOPa_M_E 
1   160 LeibraTOPb_M_E 
1   161 LeibraTOPc_M_E 
1   162 LeiinfTOPa_M_E 
1   163 LeiinfTOPb_M_E 
1   164 LeiinfTOPc_M_E 
1   165 LeimajTOPa_M_E 
1   166 LeimajTOPb_M_E 
1   167 LeimajTOPc_M_E 
1   169 LismonTOPa_M_B 
1   171 MacmulTOPz_M_E 
1   173 Magsp.TOPa_X_B 
1   175 MesfloTOPz_M_B 
1   176 MetaceTOPa_M_A 
1   177 MetaceTOPb_M_A 
1   178 MetaeoTOPz_M_A 
1   179 MetbarTOPa_M_A 
1   180 MetbarTOPb_M_A 
1   181 MetbooTOPz_M_A 
1   182 MetburTOPa_M_A 
1   183 MetburTOPb_M_A 
1   185 MetconTOPz_X_A 
1   188 MetcupTOPz_X_A 
1   189 MeteveTOPa_T_A 
1   190 MeteveTOPb_T_A 
1   192 MetfeiTOPz_T_A 
1   194 MetferTOPz_T_A 
1   195 MetharTOPz_X_A 
1   196 MethunTOPz_M_A 
1   198 MetignTOPz_X_A 
1   200 MetinfTOPz_T_A 
1   201 MetinfTOPz_T_B 
1   203 MetjanTOPz_T_A 
1   204 MetkanTOPz_T_A 
1   205 MetlabTOPz_M_A 
1   206 MetmahTOPa_M_A 
1   207 MetmahTOPb_M_A 
1   208 MetmapTOPz_M_A 
1   209 MetmarTOPz_M_A 
1   210 MetmarTOPz_T_A 
1   211 MetmazTOPa_M_A 
1   212 MetmazTOPb_M_A 
1   214 MetokiTOPz_T_A 
1   215 MetpalTOPa_X_A 
1   216 MetpalTOPb_X_A 
1   217 MetpalTOPz_M_A 
1   218 MetpetTOPz_M_A 
1   219 MetrumTOPz_M_A 
1   222 MetsedTOPz_T_A 
1   223 MetsmiTOPz_M_A 
1   225 Metsp.TOPz_M_A 
1   226 Metsp.TOPz_T_A 
1   228 MetstaTOPz_M_A 
1   229 MettheTOPz_T_A 
1   230 MettheTOPz_X_A 
1   231 MetvanTOPz_M_A 
1   232 MetvolTOPz_M_A 
1   234 MetvulTOPz_T_A 
1   235 MetzhiTOPa_X_A 
1   236 MetzhiTOPb_X_A 
1   238 MusmusTOPa_M_E 
1   239 MusmusTOPb_M_E 
1   240 MusmusTOPc_M_E 
1   241 MycpneTOPz_M_B 
1   243 NatmagTOPz_M_A 
1   244 NatphaTOPz_X_A 
1   251 NeqT1z_T_A_NN 
1   252 NiteutTOPa_X_B 
1   253 NiteutTOPb_X_B 
1   258 Nossp.TOPb_M_B 
1   259 OpiterTOPa_M_B 
1   260 OpiterTOPb_M_B 
1   262 PedhepTOPa_M_B 
1   265 PictorTOPz_T_A 
1   267 PlafalTOPz_M_E 
1   270 PorginTOPb_M_B 
1   271 PorginTOPc_M_B 
1   275 PsefluTOPb_M_B 
1   278 Pybsp.TOPz_X_A 
1   280 PyrabyTOPz_T_A 
1   282 PyraerTOPz_T_A 
1   284 PyrarsTOPz_T_A 
1   286 PyrcalTOPz_T_A 
1   289 PyrfumTOPz_T_A 
1   291 PyrfurTOPz_T_A 
1   293 PyrhorTOPz_T_A 
1   295 PyrislTOPz_T_A 
1   297 PyrkodTOPz_X_A 
1   299 Pyrsp.TOPz_X_A 
1   301 PyryayTOPz_X_A 
1   302 RatnorTOPz_M_E 
1   307 RubxylTOPa_T_B 
1   308 RubxylTOPb_T_B 
1   309 SaccerTOPz_M_E 
1   311 SalchoTOPb_X_B 
1   314 SaltypTOPb_M_B 
1   317 ShebalTOPb_H_B 
1   319 ShiboyTOPb_M_B 
1   323 StaaurTOPb_M_B 
1   326 StahelTOPz_T_A 
1   329 StamarTOPz_T_A 
1   336 SulaciTOPz_T_A 
1   339 SulislTOPz_T_A 
1   342 SulsolTOPz_T_A 
1   345 SultokTOPz_T_A 
1   348 SymtheTOPb_T_B 
1   350 TheaciTOPz_T_A 
1   353 TheaggTOPz_T_A 
1   355 ThebarTOPz_X_A 
1   358 ThegamTOPz_T_A 
1   362 TheneuTOPz_T_A 
1   364 TheonnTOPz_T_A 
1   366 ThepenTOPz_T_A 
1   369 ThesibTOPz_T_A 
1   372 Thesp.TOPz_T_A 
1   377 ThetenTOPz_X_A 
1   382 TheuzoTOPz_X_A 
1   383 ThevolTOPz_T_A 
1   388 UncmetTOPa_X_A 
1   389 UncmetTOPb_X_A 
1   390 UstmayTOPz_M_E 
1   391 VeiparTOPa_M_B 
1   394 VibchoTOPb_M_B 
1   396 VuldisTOPz_T_A 
1   398 VulmouTOPz_X_A 
1   400 XenlaeTOPz_M_E 
1   401 YerpesTOPa_M_B 
##############################################
# Groupe  2  -  119  proteines
2   2 AcamarTOPb_M_B 
2   5 AcicapTOPz_M_B 
2   6 AcicelTOPz_T_B 
2   7 AciferTOPa_M_B 
2   10 AciferTOPz_T_B 
2   19 AersalTOPa_M_B 
2   22 AlcborTOPz_M_B 
2   23 AmicolTOPz_M_B 
2   24 AnathmTOPz_X_B 
2   27 AquaeoTOPz_T_B 
2   39 ArtplaTOPz_M_B 
2   41 BacantTOPa_M_B 
2   44 BaccerTOPa_M_B 
2   47 BacfraTOPa_M_B 
2   51 BacsubTOPb_M_B 
2   52 BarbacTOPz_M_B 
2   53 BaucicTOPz_X_B 
2   54 BorburTOPz_M_B 
2   55 BruaboTOPz_M_B 
2   60 CalsacTOPz_T_B 
2   61 CamjejTOPz_M_B 
2   63 CammedTOPz_T_B 
2   66 ChlaurTOPz_T_B 
2   67 ChllimTOPz_M_B 
2   68 ChlpneTOPz_X_B 
2   69 ChrvioTOPz_M_B 
2   71 CloperTOPb_M_B 
2   74 ClotheTOPz_T_B 
2   75 CordipTOPz_M_B 
2   76 CoxburTOPz_M_B 
2   80 Cyasp.TOPa_M_B 
2   83 DehlykTOPz_M_B 
2   84 Dehsp.TOPz_M_B 
2   85 DeigeoTOPz_M_B 
2   86 DeiradTOPz_M_B 
2   87 DenaceTOPz_M_B 
2   88 DesindTOPz_X_B 
2   96 DesvulTOPz_M_B 
2   99 DicnodTOPz_M_B 
2   101 DictheTOPz_T_B 
2   105 DyaferTOPb_M_B 
2   106 EluminTOPz_M_B 
2   108 EryrhuTOPz_M_B 
2   109 EsccolTOPa_M_B 
2   115 FratulTOPz_M_B 
2   116 FusnucTOPa_M_B 
2   119 GemaurTOPz_M_B 
2   120 GeosulTOPz_M_B 
2   121 GeotheTOPa_T_B 
2   124 GlovioTOPa_M_B 
2   126 GraforTOPz_M_B 
2   127 HaeinfTOPa_M_B 
2   135 HaloreTOPz_T_B 
2   143 HelpylTOPb_M_B 
2   144 HeraurTOPz_M_B 
2   156 KinradTOPz_M_B 
2   157 LacaciTOPz_M_B 
2   158 LegpneTOPz_M_B 
2   168 LepborTOPz_M_B 
2   170 LismonTOPb_M_B 
2   172 MagmagTOPz_M_B 
2   174 Magsp.TOPb_X_B 
2   184 MetcapTOPz_T_B 
2   227 Metsp.TOPz_X_B 
2   237 MicaerTOPz_M_B 
2   242 MyctubTOPz_M_B 
2   245 NattheTOPz_T_B 
2   247 NauproTOPz_M_B 
2   248 NeigonTOPz_M_B 
2   249 NeimenTOPz_M_B 
2   255 Nitsp.TOPz_T_B 
2   256 NitwatTOPz_X_B 
2   257 Nossp.TOPa_M_B 
2   261 ParberTOPz_M_B 
2   263 PedhepTOPb_M_B 
2   264 PhezucTOPz_M_B 
2   266 PirstaTOPz_M_B 
2   268 PolgilTOPz_X_B 
2   269 PorginTOPa_M_B 
2   272 PromarTOPz_M_B 
2   273 PseaerTOPz_M_B 
2   274 PsefluTOPa_M_B 
2   276 PsyarcTOPz_P_B 
2   303 RhobalTOPz_M_B 
2   304 RicproTOPz_M_B 
2   305 RicricTOPz_M_B 
2   306 RosdenTOPz_M_B 
2   310 SalchoTOPa_X_B 
2   312 SalrubTOPz_M_B 
2   313 SaltypTOPa_M_B 
2   315 SelT1z_M_B_Cc 
2   316 ShebalTOPa_H_B 
2   318 ShiboyTOPa_M_B 
2   320 SidlitTOPz_M_B 
2   321 SphtheTOPz_X_B 
2   322 StaaurTOPa_M_B 
2   330 StragaTOPz_M_B 
2   331 StrpneTOPz_M_B 
2   332 StrpyoTOPz_M_B 
2   333 StrtheTOPz_M_B 
2   346 Sycsp.TOPz_M_B 
2   347 SymtheTOPa_T_B 
2   349 Synsp.TOPz_M_B 
2   356 ThefusTOPz_T_B 
2   360 ThemarTOPz_T_B 
2   367 TherosTOPz_T_B 
2   373 Thesp.TOPz_X_B 
2   376 ThetenTOPz_T_B 
2   378 TheterTOPz_T_B 
2   380 ThethmTOPz_T_B 
2   384 TheyelTOPz_T_B 
2   385 ThidenTOPz_M_B 
2   386 TrepalTOPz_M_B 
2   387 TrieryTOPz_X_B 
2   392 VeiparTOPb_M_B 
2   393 VibchoTOPa_M_B 
2   399 XanoryTOPz_M_B 
